displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly
MOONMOON,https://www.twitch.tv/moonmoon,25567275,2145,17180,11919,,62,1181790,-251,0,0,True,False,True,English,0,Partner,33796920,2700,18777,12517,45,0,,5412441,moonmoon,False
deepins02,https://www.twitch.tv/deepins02,25365105,1395,25683,18182,,63,2464234,11254,0,0,True,False,False,Russian,0,Partner,19817640,1125,24807,17615,6977,0,,10269255,deepins02,False
otplol_,https://www.twitch.tv/otplol_,25317420,10080,38549,2511,,64,780014,30,0,0,True,False,False,French,0,Partner,47580120,10080,69694,4720,1574,0,,35478616,otplol_,False
Lazvell,https://www.twitch.tv/lazvell,25252335,3435,34524,7351,,65,457900,1366,0,0,True,False,False,Japanese,0,Partner,18026475,3555,44442,5070,1727,0,,7412503,lazvell,False
bratishkinoff,https://www.twitch.tv/bratishkinoff,25166205,1140,47499,22075,,66,3403451,12899,0,0,True,False,True,Russian,0,Partner,14347935,900,25122,15942,5141,0,,2379709,bratishkinoff,False
Kamet0,https://www.twitch.tv/kamet0,25102095,1560,50674,16091,,67,2018314,616,0,0,True,False,False,French,0,Partner,67211160,1800,143295,37339,4440,0,,211156,kamet0,False
jasontheween,https://www.twitch.tv/jasontheween,25081320,1215,36033,20643,,68,1129081,16329,0,0,True,False,False,English,0,Partner,51092535,2175,49026,23490,38919,0,,11663408,jasontheween,False
Mixwell,https://www.twitch.tv/mixwell,24916920,2055,29556,12125,,69,1212876,161,0,0,True,False,False,Spanish,0,Partner,12471480,1680,23867,7423,547,0,,4370,mixwell,False
ibai,https://www.twitch.tv/ibai,24586470,1590,45678,15463,,70,17303729,353,0,0,True,False,False,Spanish,0,Partner,156226770,7635,58277,20461,16118,0,,3196211,ibai,False
sodapoppin,https://www.twitch.tv/sodapoppin,24087570,2070,42188,11636,,71,8961443,321,0,0,True,False,True,English,0,Partner,36957945,2895,42908,12766,-459,0,,16635,sodapoppin,False
IlloJuan,https://www.twitch.tv/illojuan,24049275,825,42329,29150,,72,4299840,2050,0,0,True,False,False,Spanish,0,Partner,39323295,1470,48047,26750,4371,0,,910344,illojuan,False
shadowkekw,https://www.twitch.tv/shadowkekw,23871525,540,101308,44206,,73,800859,12863,0,0,True,False,False,Russian,0,Partner,10911675,540,28113,20206,1805,0,,29505158,shadowkekw,False
NoWay4u_Sir,https://www.twitch.tv/noway4u_sir,23693130,2895,13670,8184,,74,734228,848,0,0,True,False,False,German,0,Partner,25326165,3000,13000,8442,421,0,,27769,noway4u_sir,False
Mizkif,https://www.twitch.tv/mizkif,22767450,1320,25726,17248,,75,2131700,726,0,0,True,False,False,English,0,Partner,11684820,690,25302,16934,129,0,,2385215,mizkif,False
TheRealMarzaa,https://www.twitch.tv/therealmarzaa,22754865,2865,22374,7942,,76,1748507,2236,0,0,True,False,False,Italian,0,Partner,19401690,2550,33252,7608,2745,0,,2064409,therealmarzaa,False
evelone2004,https://www.twitch.tv/evelone2004,22679340,420,74790,53998,,77,1487338,6792,0,0,False,False,False,Russian,0,Community,42309420,795,101440,53219,19742,0,,42575911,evelone2004,False
PirateSoftware,https://www.twitch.tv/piratesoftware,22559790,3195,11204,7060,,78,1210234,-486,0,0,True,False,False,English,0,Partner,19048845,3075,8596,6194,-173,0,,10034290,piratesoftware,False
loltyler1,https://www.twitch.tv/loltyler1,22500615,2670,13024,8427,,79,5446787,-671,0,0,True,False,False,English,0,Partner,14758560,1755,17357,8409,-146,0,,3828692,loltyler1,False
CohhCarnage,https://www.twitch.tv/cohhcarnage,22261800,2475,15025,8994,,80,1632861,1158,0,0,True,False,False,English,0,Partner,21212040,2700,18839,7856,793,0,,5115,cohhcarnage,False
Jinnytty,https://www.twitch.tv/jinnytty,21578895,4455,8885,4843,,81,1077071,956,0,0,True,False,False,English,0,Partner,16287315,3225,7801,5050,896,0,,10797151,jinnytty,False
mooda,https://www.twitch.tv/mooda,21394290,3135,10666,6824,,82,362277,4658,0,0,True,False,False,English,0,Partner,13545255,2085,10002,6496,4970,0,,35462863,mooda,False
RDCgaming,https://www.twitch.tv/rdcgaming,21036390,1605,19275,13106,,83,844762,3833,0,0,True,False,False,English,0,Partner,9847080,840,17121,11722,1778,0,,3386786,rdcgaming,False
GRONKH,https://www.twitch.tv/gronkh,20826540,1095,24520,19019,,84,1741382,762,0,0,True,False,True,German,0,Partner,43804845,2715,23768,16134,2789,0,,99482,gronkh,False
pathofexile,https://www.twitch.tv/pathofexile,20569470,225,147372,91419,,85,418892,24250,0,0,True,False,False,English,0,Partner,1413255,270,7031,5234,687,0,,24443539,pathofexile,False
Pikabooirl,https://www.twitch.tv/pikabooirl,20545215,2565,25872,8009,,86,583143,1630,0,0,True,False,False,English,0,Partner,31438845,4110,19427,7649,968,0,,82312,pikabooirl,False
scump,https://www.twitch.tv/scump,20349585,2250,19328,9044,,87,1837775,1342,0,0,True,False,False,English,0,Partner,3729915,870,8950,4287,495,0,,9428025,scump,False
Baiano,https://www.twitch.tv/baiano,20156400,10080,11972,1999,,88,1050434,775,0,0,True,False,True,Portuguese,0,Partner,15959400,10080,16689,1583,336,0,,9072198,baiano,False
TenZ,https://www.twitch.tv/tenz,20044080,2685,19933,7465,,89,4329520,3077,0,0,True,False,False,English,0,Partner,19213410,2550,13380,7534,6631,0,,575517,tenz,False
RocketBaguette,https://www.twitch.tv/rocketbaguette,19870140,1665,31128,11934,,90,482336,3466,0,0,True,False,False,French,0,Partner,267645,345,1246,775,1,0,,8308427,rocketbaguette,False
ThePrimeagen,https://www.twitch.tv/theprimeagen,19806765,7815,5762,2534,,91,256349,4938,0,0,True,False,False,English,0,Partner,4931970,2055,3737,2399,893,0,,14518379,theprimeagen,False
aminematue,https://www.twitch.tv/aminematue,19752705,165,167623,119713,,92,3226887,2487,0,0,True,False,False,English,0,Partner,33890550,930,55459,36441,5787,0,,25899954,aminematue,False
sacy,https://www.twitch.tv/sacy,19676985,3300,26031,5962,,93,782947,1359,0,0,True,False,True,Portuguese,0,Partner,17912955,3180,24066,5633,2288,0,,4374416,sacy,False
angryginge13,https://www.twitch.tv/angryginge13,19649700,2295,14100,8561,,94,1229334,6542,0,0,True,False,False,English,0,Partner,14106210,1860,12602,7583,5468,0,,33184526,angryginge13,False
dangerlyoha,https://www.twitch.tv/dangerlyoha,19361625,1290,40355,15009,,95,1139379,15620,0,0,True,False,False,Russian,0,Partner,8515005,855,14679,9959,4612,0,,24594582,dangerlyoha,False
