displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly,email,discord,twitter,youtube
sasatikk,https://www.twitch.tv/sasatikk,12006285,2010,9747,5973,,188,392561,696,0,0,True,False,False,Japanese,0,Partner,15291705,1965,14055,7782,997,0,,8808457,sasatikk,False,,,,
Tectone,https://www.twitch.tv/tectone,11920815,2100,10289,5676,,189,951873,849,0,0,True,False,False,English,0,Partner,11053200,2130,7559,5189,-460,0,,1814971,tectone,False,,,,
RocketBaguette,https://www.twitch.tv/rocketbaguette,11918535,1440,17909,8276,,190,482336,1533,0,0,True,False,False,French,0,Partner,92115,105,1246,877,3,0,,8308427,rocketbaguette,False,,,,
xRohat,https://www.twitch.tv/xrohat,11898435,2115,12977,5625,,191,1184321,1140,0,0,True,False,False,German,0,Partner,18311370,3345,16617,5474,547,0,,23814064,xrohat,False,,,,
PietSmiet,https://www.twitch.tv/pietsmiet,11867370,2475,11195,4794,,192,830405,1708,0,0,True,False,True,German,0,Partner,16640355,3060,13889,5438,832,0,,88204,pietsmiet,False,,,,
sasavot,https://www.twitch.tv/sasavot,11836125,705,28357,16788,,193,954758,2532,0,0,True,False,False,Russian,0,Partner,16916040,765,39488,22112,8680,0,,13576138,sasavot,False,,,,
LenaGol0vach,https://www.twitch.tv/lenagol0vach,11777220,1245,13268,9459,,194,697704,2040,0,0,True,False,False,Russian,0,Partner,11935050,1275,13748,9360,1871,0,,13356,lenagol0vach,False,,,,
FerretSoftware,https://www.twitch.tv/ferretsoftware,11698200,10080,4268,1160,,195,173077,35,0,0,True,False,False,English,0,Partner,12303780,10080,6083,1220,168,0,,58175111,ferretsoftware,False,,,,
bratishkinoff,https://www.twitch.tv/bratishkinoff,11684565,675,25815,17310,,196,3403451,5987,0,0,True,False,True,Russian,0,Partner,22630920,1365,26657,16579,8011,0,,2379709,bratishkinoff,False,,,,
西南69 (kr1stw),https://www.twitch.tv/kr1stw,11628495,3705,5853,3138,,197,79019,92,0,0,True,False,True,Chinese,0,Partner,9605445,2490,5668,3857,74,0,,11822911,kr1stw,False,,,,
Distortion2,https://www.twitch.tv/distortion2,11621085,2670,8491,4352,,198,670636,333,0,0,True,False,True,English,0,Partner,9095430,3840,4809,2368,3,0,,242297,distortion2,False,,,,
Bisteconee,https://www.twitch.tv/bisteconee,11611920,1125,18536,10321,,199,1240419,7701,0,0,True,False,False,Portuguese,0,Partner,9532380,855,15948,11148,7757,0,,41869346,bisteconee,False,,,,
PaymoneyWubby,https://www.twitch.tv/paymoneywubby,11580420,900,18474,12867,,200,672795,487,0,0,True,False,False,English,0,Partner,10693575,765,17912,13978,559,0,,6868784,paymoneywubby,False,,,,
